"varObjCont" "Age_under19_Ptge" "Age_19_65_pct" "WomanPopulationPtge" "SameComAutonPtge" "SameComAutonDiffProvPtge" "SUPERFICIE" "prop_missings" "sqrtxAge_0.4_Ptge" "logxForeignersPtge" "logxUnemployLess25_Ptge" "logxUnemploy25_40_Ptge" "logxUnemployMore40_Ptge" "logxAgricultureUnemploymentPtge" "logxIndustryUnemploymentPtge" "logxConstructionUnemploymentPtge" "logxServicesUnemploymentPtge" "logxtotalEmpresas" "sqrtxPobChange_pct" "raiz4PersonasInmueble" "sqrtxExplotaciones"
"varObjCont" 1 -0.460937751870942 -0.314869589334505 -0.225534797744651 0.0784754022359151 -0.216967172854555 0.0290288653428538 -0.0846740433161212 -0.428493000194435 -0.227098458599688 -0.188659543871875 -0.246940500598658 -0.198958652935212 -0.150578836366398 -0.295092248452618 -0.204602434220141 -0.230106546871883 -0.367825809259306 -0.258464314347767 -0.326375526097664 -0.0812221571663061
"Age_under19_Ptge" -0.460937751870942 1 0.497383378070102 0.440860074493782 -0.307218198200309 0.0638432023004972 0.0475546715800965 0.375281142712059 0.844374043477557 0.452208112286483 0.50464168684353 0.447871823631468 0.313328689447929 0.396802426008039 0.508855797009662 0.419097213722365 0.36000926377742 0.657243237014093 0.51427275459422 0.621292073021889 0.271033628828694
"Age_19_65_pct" -0.314869589334505 0.497383378070102 1 0.117916595404401 -0.24752659975361 0.0688422841538289 0.0243359521993897 0.259316979610668 0.457516900933534 0.263403066056488 0.296562059082157 0.256341186532968 0.183174191267483 0.215907492057509 0.289450294954777 0.248831943016273 0.207892270435527 0.392661375629145 0.395396654420114 0.397728613943831 0.107535364542814
"WomanPopulationPtge" -0.225534797744651 0.440860074493782 0.117916595404401 1 -0.0428213345689683 0.0427937390871801 0.106021076655102 0.252289971067792 0.409614548168937 0.283317488123186 0.404909789329066 0.385826683429283 0.294943282862633 0.367041778731873 0.393882311416994 0.370816125776158 0.325270896496031 0.487390026757226 0.202978597728 0.407535127623275 0.320803664910117
"SameComAutonPtge" 0.0784754022359151 -0.307218198200309 -0.24752659975361 -0.0428213345689683 1 0.0573091516253669 0.04596325541336 -0.223989448465409 -0.264071985061205 -0.357119255270664 -0.0755974762041375 -0.0935581217742169 -0.0635887601098069 -0.0484283201956017 -0.104633809786237 -0.0888963066939491 -0.0900410764708729 -0.151010176474617 -0.132528999265313 0.0238631362034646 0.0710291614492434
"SameComAutonDiffProvPtge" -0.216967172854555 0.0638432023004972 0.0688422841538289 0.0427937390871801 0.0573091516253669 1 -0.0317154840450509 -0.0350866351001778 0.0644743889095786 0.0654204867709502 -0.0398658785659272 0.0417964584946208 0.0196676893062255 -0.011982426526795 -0.0048503104237258 -0.0191053453285034 0.0399698415370021 0.0332798012178341 0.0332942400124724 0.026325207068815 -0.0589172839599498
"SUPERFICIE" 0.0290288653428538 0.0475546715800965 0.0243359521993897 0.106021076655102 0.04596325541336 -0.0317154840450509 1 0.0695603906461005 0.0521269637042301 0.0427296286914401 0.137220867887126 0.082687420386851 0.0687398485163875 0.159695848419923 0.0881416658202427 0.122905850937849 0.0646470402067846 0.136062985705714 0.0022750845552019 0.048195898424829 0.238823217585471
"prop_missings" -0.0846740433161212 0.375281142712059 0.259316979610668 0.252289971067792 -0.223989448465409 -0.0350866351001778 0.0695603906461005 1 0.306894231906516 0.162122180889791 0.229763951642206 0.134514899238092 0.0899531849513924 0.189378155968916 0.209015573812047 0.198770704664114 0.0819002026172589 0.21030617839293 0.204337962506488 0.293407472183669 0.121678424706428
"sqrtxAge_0.4_Ptge" -0.428493000194435 0.844374043477557 0.457516900933534 0.409614548168937 -0.264071985061205 0.0644743889095786 0.0521269637042301 0.306894231906516 1 0.458895065161784 0.46194522126976 0.47221773645688 0.32583202798694 0.38522250602713 0.493010831145758 0.407777920540556 0.377138556774933 0.636279396754891 0.520896106233968 0.560610302954791 0.282090337198593
"logxForeignersPtge" -0.227098458599688 0.452208112286483 0.263403066056488 0.283317488123186 -0.357119255270664 0.0654204867709502 0.0427296286914401 0.162122180889791 0.458895065161784 1 0.319874612396122 0.369474960611595 0.273187281790688 0.315671867479818 0.340012431255386 0.29620646867886 0.304351109620298 0.470147119114959 0.251318461408472 0.282468936563161 0.233867661974724
